classifier,scaler,accuracy_score
LogisticRegression,MinMaxScaler,100.0
LogisticRegression,StandardScaler,100.0
LogisticRegression,MaxAbsScaler,100.0
LogisticRegression,RobustScaler,100.0
LogisticRegression,QuantileTransformer,100.0
LogisticRegression,PowerTransformer,100.0
LogisticRegression,Normalizer,24.73
KNeighborsClassifier,MinMaxScaler,100.0
KNeighborsClassifier,StandardScaler,100.0
KNeighborsClassifier,MaxAbsScaler,100.0
KNeighborsClassifier,RobustScaler,100.0
KNeighborsClassifier,QuantileTransformer,100.0
KNeighborsClassifier,PowerTransformer,100.0
KNeighborsClassifier,Normalizer,93.97
GaussianNB,MinMaxScaler,100.0
GaussianNB,StandardScaler,100.0
GaussianNB,MaxAbsScaler,100.0
GaussianNB,RobustScaler,100.0
GaussianNB,QuantileTransformer,100.0
GaussianNB,PowerTransformer,100.0
GaussianNB,Normalizer,100.0
DecisionTreeClassifier,MinMaxScaler,100.0
DecisionTreeClassifier,StandardScaler,100.0
DecisionTreeClassifier,MaxAbsScaler,100.0
DecisionTreeClassifier,RobustScaler,99.73
DecisionTreeClassifier,QuantileTransformer,100.0
DecisionTreeClassifier,PowerTransformer,100.0
DecisionTreeClassifier,Normalizer,99.73
RandomForestClassifier,MinMaxScaler,100.0
RandomForestClassifier,StandardScaler,100.0
RandomForestClassifier,MaxAbsScaler,100.0
RandomForestClassifier,RobustScaler,100.0
RandomForestClassifier,QuantileTransformer,100.0
RandomForestClassifier,PowerTransformer,100.0
RandomForestClassifier,Normalizer,100.0
