iter	Passed	Remaining
0	602	601949
1	987	492724
2	1346	447441
3	1688	420422
4	1984	394844
5	2402	398029
6	2800	397284
7	3144	389906
8	3555	391546
9	3922	388321
10	4252	382375
11	4657	383464
12	5177	393077
13	5773	406628
14	6130	402563
15	6567	403907
16	7115	411441
17	7598	414544
18	8052	415766
19	8491	416096
20	8903	415049
21	9323	414452
22	9753	414302
23	10099	410715224	10466	40819325	10866	407068
226	11348	408976227	11922	413892228	12372	414262229	12923	417859330	13310	416070331	13679	413793332	14042	411476333	14379	40855534	14647	403856
35	15101	404390
336	15498	403389337	15948	403751338	16298	40161839	16700	400819
40	17178	401801
41	17635	402251
42	18076	402314
43	18488	401710
44	18902	401157
45	19312	400529
46	19668	398814
47	19957	395814
48	20348	394933
49	20783	394879
50	21200	394493
51	21559	393045
52	21865	390693
53	22312	390889
54	22780	391403
55	23197	391041
56	23508	388924
57	23800	386548
58	24125	384783
59	24398	382235
60	24834	382288
61	25227	381672
62	25549	379998
63	25876	378442
64	26252	377638
65	26584	376205
66	26965	375503
67	27477	376609
68	27891	376327
69	28297	375952
70	28765	376383
71	29113	375241
72	29501	374634
73	29873	373823
74	30254	373137
75	30591	371925
76	31035	372023
77	31369	370803
78	31761	370284
79	32076	368881
80	32562	369449
81	32985	369278
82	33323	368169
83	33649	366935
84	34032	366349
85	34432	365944
86	34846	365683
87	35221	365021
88	35590	364305
89	35963	363635
90	36304	362650
91	36619	361417
92	37014	360988
93	37362	360108
94	37706	359202
95	38020	358026
96	38328	356808
97	38712	356314
98	39195	356720
99	39525	355727
100	39926	355383
101	40306	354852
102	40564	353264
103	40889	352282
104	41259	351685
105	41521	350189
106	41962	350212
107	42225	348748
108	42595	348185
109	43051	348327
110	43523	348578
111	43971	348633
112	44305	347781
113	44639	346934
114	45095	347037
115	45508	346808
116	45990	347093
117	46348	346436
118	46774	346285
119	47152	345788
120	47516	345184
121	47845	344333
122	48250	344028
123	48608	343396
124	49030	343210
1125	49528	3435531126	49935	3432581127	50401	3433571128	50788	3429191129	51273	3431351130	51774	3434481131	52280	3437841132	52792	3441421133	53511	3458301134	53879	3452271135	54391	3455451136	54922	3459691137	55410	3461141138	55868	3460651139	56279	3457151140	56795	3460081141	57271	3460461142	57604	3452211143	58039	3450131144	58417	344462145	58869	344347
1146	59348	3443821147	59771	344090148	60198	343817
149	60743	344213
150	61246	344356
151	61678	344098
152	62052	343520
153	62505	343375
154	63043	343689
155	63460	343335
156	63976	343518
157	64417	343287
158	64785	342672
159	65175	342171
160	65605	341883
161	66080	341823
162	66534	341650
163	67032	341704
164	67389	341032
165	67808	340678
166	68259	340478
167	68671	340085
168	69131	339929
169	69551	339574
170	69985	339285
171	70416	338980
172	70942	339127
173	71389	338895
174	71692	337977
175	72176	337917
176	72630	337710
177	73023	337220
178	73388	336604
179	73724	335856
180	74138	335464
181	74551	335073
182	75304	336194
183	75768	336016
184	76086	335190
185	76659	335486
186	77324	336174
187	77872	336340
188	78286	335929
189	78777	335839
190	79302	335895
191	79681	335325
192	80258	335590
193	80769	335569
194	81060	334632
195	81533	334453
196	81998	334236
197	82453	333977
198	82824	333378
199	83195	332780
200	83648	332511
201	84014	331899
202	84459	331598
203	84933	331406
204	85281	330725
205	85785	330649
206	86078	329758
207	86513	329418
208	86963	329130
209	87321	328494
210	87721	328020
211	88066	327341
212	88555	327197
213	88962	326751
214	89395	326396
215	89715	325634
216	90103	325121
217	90541	324787
218	90925	324259
219	91319	323769
220	91687	323187
221	92075	322679
222	92493	322274
223	92852	321667
224	93314	321415
225	93702	320910
226	94015	320150
227	94481	319909
228	94833	319286
229	95299	319046
230	95651	318425
231	96118	318185
232	96459	317530
233	96848	317034
234	97261	316616
235	97572	315871
236	97927	315268
237	98314	314770
238	98677	314199
239	98924	313259
240	99364	312936
241	99666	312178
242	100071	3117442243	100460	311262244	100939	311057
245	101318	310543
246	101788	310310
247	102236	310007
248	102670	309660
249	103010	309031
250	103328	308338
251	103735	307913
252	104096	307351
253	104477	306851
2254	104775	3061082255	105199	3057362256	105686	3055452257	105995	3048402258	106409	304437259	106791	303945
2260	107134	3033422261	107482	3027562262	107872	3022892263	108325	3019972264	108632	3013002265	109156	3012052266	109523	3006752267	109886	3001382268	110327	2998102269	110742	2994162270	111174	2990622271	111496	2984172272	111877	2979302273	112389	2977902274	112735	2972102275	113183	2969002276	113590	2964822277	114008	2960932278	114295	2953662279	114757	2950892280	115064	2944162281	115472	2940052282	115915	2936802283	116350	293333
284	116753	292907
285	117196	292580
286	117744	292516
287	118091	291947
288	118574	291716
289	118951	291226
290	119221	290474
291	119602	289995
292	119944	289422
293	120266	288802
294	120649	288331
295	121056	287917
296	121474	287530
297	121832	287000
298	122108	286281
299	122487	285804
300	122897	285399
301	123249	284861
302	123609	284343
303	124065	284044
304	124419	283512
305	124810	283067
306	125135	282471
307	125534	282045
308	125850	281432
309	126223	280948
310	126628	280537
311	127067	280200
312	127419	279671
313	127889	279400
314	128170	278720
315	128458	278055
316	128868	277656
317	129275	277251
318	129666	276811
319	129982	276213
320	130276	275568
321	130641	275078
322	130953	2744743323	131399	274154
324	131785	273708
325	132142	273202
326	132480	2726573327	132865	272213
328	133204	2716733329	133644	2713383330	134018	2708703331	134342	2703033332	134851	2701083333	135179	2695503334	135720	2694153335	136025	2688123336	136432	2684113337	136899	2681283338	137325	2677643339	137755	2674063340	138164	2670093341	138581	2666273342	138934	2661223343	139380	2657953344	139803	2654243345	140206	265014
346	140606	264599
347	141032	264233
348	141349	263664
349	141712	263180
350	142132	262804
351	142436	262212
352	142840	261807
353	143279	261464
354	143668	261032
355	144077	260635
356	144504	260270
357	144864	259784
358	145217	259287
359	145605	258853
360	146013	258455
361	146296	257837
362	146737	257498
363	147137	257085
364	147456	2565333365	147775	2559823366	148153	255533
367	148469	2549803368	148872	2545763369	149274	2541703370	149597	2536303371	150001	2532273372	150408	2528313373	150769	2523583374	151231	2520523375	151531	2514783376	151926	2510613377	152325	2506513378	152785	2503423379	153283	250094
380	153638	249612
381	154112	249322
382	154594	249046
383	154940	248550
384	155274	2480363385	155729	2477143386	156162	247357
387	156484	246825
388	156755	2462153389	157091	2457073390	157494	2453033391	157907	244917
392	158222	244378
393	158602	243941
394	158997	243528
395	159358	243061
396	159657	2425023397	160055	2420943398	160290	2414403399	160776	2411654400	161026	2405364401	161430	2401384402	161731	2395874403	162052	2390684404	162455	2386694405	162796	2381804406	163189	237767407	163701	237528
408	164009	236991
409	164330	236475
410	164853	236249
411	165192	235759
412	165552	235301
4413	165807	2346934414	166253	2343574415	166604	2338864416	166980	2334514417	167309	2329524418	167669	2324964419	168035	2320494420	168433	2316464421	168808	2312124422	169054	2306014423	169447	2301924424	169892	2298544425	170186	2293124426	170581	2289064427	170980	2285064428	171287	2279844429	171740	2276554430	172093	2271954431	172377	2266444432	172869	2263674433	173230	2259184434	173590	2254674435	173966	2250384436	174407	2246944437	174645	2240884438	175049	2236964439	175364	2231914440	175635	2226304441	176076	2222874442	176429	2218314443	176704	2212784444	177062	2208314445	177412	2203734446	177800	219963447	178217	219589
448	178570	219136
4449	178895	218650450	179347	218318
451	179751	217928
452	180151	217534
453	180566	217156
454	180877	216655
455	181259	216239
456	181632	215812
457	181989	215367
458	182307	214876
459	182695	214469
460	183052	214024
461	183410	213582
462	183786	213160
463	184164	212741
464	184531	212310
465	184889	211869
466	185266	211450
4467	185572	2109494468	185994	2105824469	186260	2100384470	186637	2096204471	187022	2092124472	187406	2088014473	187694	2082854474	188037	207831475	188491	207498
4476	188860	2070734477	189266	2066884478	189569	2061914479	189952	2057814480	190338	2053754481	190671	2049124482	191118	2045724483	191561	2042274484	191895	2037654485	192233	2033084486	192610	2028934487	193014	2025064488	193336	2020344489	193656	2015604490	194060	201175491	194565	200893
492	195052	200591
493	195472	200221
4494	195626	199578495	196136	199300
496	196517	198890
497	196952	198534
498	197353	198144
499	197747	197747
500	198024	197234
501	198333	196752
5502	198626	1962575503	199066	1959065504	199421	1954725505	199782	1950445506	200092	1945675507	200452	1941385508	200742	1936435509	201161	1932725510	201525	1928495511	201956	1924895512	202375	192118513	202855	191804
514	203264	191423
515	203743	191108
516	204248	190816
517	204726	190498
518	205083	190067
519	205582	189768
520	205907	189308
521	206394	188997
522	206870	188675
523	207256	188271
524	207688	187908
525	208085	187514
526	208512	187146
527	208846	186695
528	209191	186255
529	209508	185790
530	209850	185348
531	210304	185004
532	210769	184670
533	211155	184267
534	211526	183850
535	211876	183415
536	212335	183075
537	212670	182627
538	213039	182209
539	213415	181798
540	213761	181361
541	214142	180954
542	214502	180530
543	214936	180167
544	215320	179762
545	215633	179299
546	216041	178915
547	216294	178403
548	216624	177955
549	217027	177567
550	217356	177119
551	217675	176664
552	218047	176251
553	218529	175928
554	218824	175454
555	219225	175065
556	219515	174587
557	219941	174219
558	220483	173940
559	220850	173525
560	221192	173090
561	221605	172710
562	222013	172326
563	222363	171898
564	222726	171479
565	223088	171061
566	223458	170647
567	223823	170231
568	224153	169789
569	224450	169322
570	224766	168869
571	225143	168464
572	225424	167986
573	225834	167605
574	226116	1671257575	226489	1667257576	226929	166362
577	227227	1658957578	227593	165486
579	228037	165130
580	228459	164757
581	228825	164345
5582	229041	1638585583	229493	1634585584	229858	1630585585	230274	1626585586	230706	1623205587	231113	1619365588	231413	1614585589	231843	1611115590	232204	1606965591	232540	160264592	233164	160030
5593	233394	1595255594	233815	1591515595	234270	1588015596	234634	1583885597	235093	1580395598	235447	1576205599	235824	157216600	236468	156989
601	236849	156588
6602	237007	1560406603	237395	1556436604	237739	1552186605	238155	1548406606	238638	1545056607	239114	1541656608	239492	1537626609	239818	1533266610	240182	152914
611	240506	1524776612	240869	1520666613	241209	1516406614	241566	1512246615	241918	1508066616	242348	150437
617	242675	1500616618	243007	149561619	243482	14923626620	243710	1487626621	243983	148262622	244569	1479962623	244956	14760626624	245215	1471626625	245555	1467626626	245932	1463626627	246352	1459626628	246655	1454626629	247035	1450636630	247422	144663631	247863	1443263632	248270	1439463633	248622	1435263634	249061	1431663635	249438	1427663636	249870	1423963637	250157	1419363638	250473	1415063639	250874	1411164640	251273	1407264641	251646	1403264642	252017	1399264643	252507	1395864644	252820	13914645	253529	138930
646	253822	138484
647	254229	138100
648	254631	137712
649	254987	137300
650	255252	136840
651	255612	136431
652	256039	136057
653	256384	135640
654	256767	135244
655	257146	134845
656	257505	134435
657	257915	134053
658	258322	133669
659	258710	133274
660	259040	132851
661	259367	132426
662	259785	132048
663	260080	131607
664	260422	131190
665	260680	130731
666	261073	130341
667	261496	129965
668	261918	129588
669	262234	129160
670	262599	128755
671	263000	128369
672	263378	127971
673	263801	127595
674	264158	127187
675	264575	126808
676	264886	126378
677	265212	125956
678	265587	125557
679	266047	125198
680	266350	124766
681	266718	124364
682	267196	124013
683	267607	123631
684	267964	123224
685	268334	122823
686	268671	122407
687	269052	122012
688	269381	121593
689	269814	121220
690	270247	120848
691	270615	120447
692	271118	120105
693	271491	119706
694	271844	119298
695	272249	118913
696	272517	118468
697	272897	118073
698	273270	117674
699	273717	117307
