EXT1,EXT2,EXT3,EXT4,EXT5,EXT6,EXT7,EXT8,EXT9,EXT10,EST1,EST2,EST3,EST4,EST5,EST6,EST7,EST8,EST9,EST10,AGR1,AGR2,AGR3,AGR4,AGR5,AGR6,AGR7,AGR8,AGR9,AGR10,CSN1,CSN2,CSN3,CSN4,CSN5,CSN6,CSN7,CSN8,CSN9,CSN10,OPN1,OPN2,OPN3,OPN4,OPN5,OPN6,OPN7,OPN8,OPN9,OPN10,Clusters
0.75,0.0,1.0,0.25,1.0,0.0,1.0,0.25,0.75,0.0,0.0,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0.25,1.0,0.25,0.75,0.25,0.5,0.25,0.75,0.5,0.75,0.5,0.75,0.5,0.25,0.25,0.75,0.75,0.25,0.75,0.75,1.0,0.0,0.75,0.0,0.75,0.0,1.0,0.5,0.75,1.0,1
0.5,1.0,0.5,0.75,0.5,0.5,0.25,1.0,0.0,1.0,0.25,0.5,0.75,0.0,0.5,0.0,0.25,0.0,0.5,0.0,0.0,0.75,0.0,1.0,0.0,1.0,0.5,0.75,1.0,0.5,0.5,0.25,1.0,0.5,0.5,0.0,0.5,0.5,1.0,0.5,0.0,0.25,0.75,0.25,0.5,0.0,0.75,0.25,1.0,0.5,2
0.25,0.5,0.75,0.75,0.5,0.25,0.0,0.5,0.25,1.0,0.75,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.0,0.5,0.0,0.75,0.0,0.75,0.25,0.75,0.0,0.75,0.75,0.5,0.75,0.25,0.25,0.25,0.5,0.5,0.75,0.25,0.75,0.25,1.0,0.0,0.25,0.0,0.75,0.25,1.0,0.5,0.75,0.75,2
0.25,0.25,0.25,0.5,0.75,0.25,0.25,0.75,0.0,0.75,0.5,0.5,0.5,0.25,0.5,0.25,0.25,0.25,0.75,0.5,0.25,0.75,0.5,0.75,0.25,0.75,0.25,0.75,0.5,0.75,0.25,0.75,0.75,0.75,0.0,0.25,0.25,0.5,0.0,0.75,0.75,0.25,1.0,0.25,0.5,0.0,0.75,0.75,0.5,0.5,3
0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.75,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.25,0.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,1.0,0.5,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5,1.0,1.0,1
0.5,0.5,0.75,0.25,0.75,0.25,0.25,0.5,0.5,0.75,0.5,0.75,0.5,0.25,0.25,0.0,0.25,0.0,0.25,0.25,0.25,0.5,0.0,0.75,0.25,0.5,0.25,0.5,0.75,0.75,0.5,0.25,0.75,0.0,0.5,0.25,0.75,0.5,0.75,0.5,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.75,1.0,0.25,1
0.75,0.5,0.75,0.5,0.5,0.5,1.0,0.5,0.75,0.5,0.25,0.75,0.75,0.25,0.75,0.25,0.25,0.25,0.75,0.75,0.0,0.25,0.0,1.0,0.5,1.0,0.5,0.75,0.75,1.0,0.5,0.25,0.75,0.25,0.0,0.75,0.75,0.25,0.25,1.0,1.0,0.25,0.75,0.5,0.75,0.0,1.0,1.0,0.75,0.75,0
0.5,0.0,1.0,0.25,1.0,0.25,1.0,0.25,0.5,0.25,0.25,0.75,0.25,0.75,0.25,0.0,0.25,0.0,0.0,0.0,0.25,1.0,0.25,0.75,0.5,0.25,0.25,0.75,0.75,0.75,1.0,0.0,1.0,0.0,0.75,0.25,0.5,0.25,1.0,1.0,0.75,0.0,0.5,0.0,1.0,0.0,0.75,0.5,0.75,1.0,1
0.0,1.0,0.5,1.0,0.25,0.5,0.25,0.75,1.0,0.75,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.0,1.0,0.5,0.75,0.25,0.5,0.25,0.25,1.0,0.0,1.0,0.0,0.75,0.5,0.75,0.25,0.25,0.5,0.0,0.5,0.0,0.5,0.5,0.75,0.5,0.5,0.5,3
0.5,0.5,0.25,0.5,0.5,0.25,0.75,0.5,0.5,1.0,0.75,0.5,0.75,0.0,0.25,0.5,1.0,0.75,0.75,1.0,0.25,1.0,0.5,0.75,0.25,0.5,0.0,0.5,0.75,0.25,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0
