FilePath
E:Google Photos Data\takeout-20241128T201511Z-001.zip
E:Google Photos Data\takeout-20241128T201511Z-002.zip
E:Google Photos Data\takeout-20241128T201511Z-003.zip
E:Google Photos Data\takeout-20241128T201511Z-004.zip
E:Google Photos Data\takeout-20241128T201511Z-005.zip
E:Google Photos Data\takeout-20241128T201511Z-006.zip
E:Google Photos Data\takeout-20241128T201511Z-007.zip
E:Google Photos Data\takeout-20241128T201511Z-008.zip
E:Google Photos Data\takeout-20241128T201511Z-009.zip
E:Google Photos Data\takeout-20241128T201511Z-010.zip
E:Google Photos Data\takeout-20241128T201511Z-001\Takeout\Google Photos\print-subscriptions.json
E:Google Photos Data\takeout-20241128T201511Z-001\Takeout\Google Photos\shared_album_comments.json
E:Google Photos Data\takeout-20241128T201511Z-001\Takeout\Google Photos\user-generated-memory-titles.json
E:Google Photos Data\takeout-20241128T201511Z-001\Takeout\Google Photos\13-3-2016.Mumbai\IMG_20160313_103448.jpg
E:Google Photos Data\takeout-20241128T201511Z-001\Takeout\Google Photos\13-3-2016.Mumbai\IMG_20160313_103448.jpg.json
E:Google Photos Data\takeout-20241128T201511Z-001\Takeout\Google Photos\13-3-2016.Mumbai\IMG_20160313_103522.jpg
E:Google Photos Data\takeout-20241128T201511Z-001\Takeout\Google Photos\13-3-2016.Mumbai\IMG_20160313_103522.jpg.json
E:Google Photos Data\takeout-20241128T201511Z-001\Takeout\Google Photos\13-3-2016.Mumbai\IMG_20160313_103625.jpg
E:Google Photos Data\takeout-20241128T201511Z-001\Takeout\Google Photos\13-3-2016.Mumbai\IMG_20160313_103625.jpg.json
E:Google Photos Data\takeout-20241128T201511Z-001\Takeout\Google Photos\13-3-2016.Mumbai\IMG_20160313_103631.jpg
E:Google Photos Data\takeout-20241128T201511Z-001\Takeout\Google Photos\13-3-2016.Mumbai\IMG_20160313_103631.jpg.json
E:Google Photos Data\takeout-20241128T201511Z-001\Takeout\Google Photos\13-3-2016.Mumbai\IMG_20160313_103725.jpg
E:Google Photos Data\takeout-20241128T201511Z-001\Takeout\Google Photos\13-3-2016.Mumbai\IMG_20160313_103725.jpg.json
E:Google Photos Data\takeout-20241128T201511Z-001\Takeout\Google Photos\13-3-2016.Mumbai\IMG_20160313_103728.jpg
