tempC_avg(0C),Relative humidity_avg(%),windspeedKmph_avg(Km/h),pressureMB_avg,precipMM_avg(mm),weatherDesc,Sunshine Hours,%_soil_moisure,Type of Disease (Bacterial Blight/Telya),Anthracnose,Fruit Spot/ Rot,Fusarium Wilt,Fruit Borer / Blight Blora
25,83,21,1001,0.166666666666666,3,6.2,52,1,1,0,0,1
24,91,6,1004,0.1,3,3.8,65,0,0,1,0,1
28,15,7,1010,0.0,5,10.7,35,0,0,0,0,0
26,76,14,1007,0.133333333333333,3,3.8,60,1,1,0,0,0
26,45,7,1012,0.0,5,9.7,44,0,0,0,0,0
30,20,10,1010,0.0,5,10.7,31,0,0,0,0,0
23,89,13,1001,0.33333333333333304,3,3.9,48,0,0,0,0,1
24,28,10,1012,0.0,5,10.1,45,0,0,0,0,0
24,78,3,1008,0.166666666666666,3,9.1,51,0,0,0,0,0
27,70,8,1003,0.39999999999999897,1,6.2,65,1,1,0,0,0
20,51,12,1012,0.0,4,10.1,42,0,0,0,0,0
27,19,9,1011,0.0,5,10.1,41,0,0,0,0,0
30,26,13,1010,0.0,5,11.2,30,0,0,0,0,0
24,65,6,1013,0.0,4,9.7,50,0,0,0,0,0
26,72,13,1004,0.0,3,6.2,50,1,1,0,0,0
24,78,10,1009,0.19999999999999898,3,5.4,53,0,0,0,0,0
25,32,9,1011,0.0,4,10.1,42,1,0,0,0,0
26,37,8,1013,0.0,5,9.7,43,0,0,0,0,0
25,86,6,1000,0.5666666666666661,1,3.9,62,1,0,1,0,1
26,45,8,1011,0.0,5,9.1,45,0,0,0,0,0
26,25,4,1013,0.0,5,9.8,45,0,0,0,0,0
23,90,37,1004,0.6,1,3.8,68,0,0,1,1,0
24,26,3,1012,0.0,5,9.8,42,0,0,0,0,0
22,34,8,1015,0.0,5,9.6,43,0,0,0,0,0
32,22,13,1007,0.0,4,11.2,31,0,0,0,0,0
30,21,9,1010,0.0,4,10.7,32,0,0,0,0,0
27,39,5,1011,0.0333333333333333,3,10.1,43,1,0,0,0,0
21,92,13,1007,0.133333333333333,3,5.4,56,0,0,0,0,0
26,77,12,1002,0.7,1,3.8,56,1,1,0,0,0
25,31,6,1013,0.0,5,9.6,42,0,0,0,0,0
31,53,16,1005,0.0,5,10.4,32,0,0,0,0,0
35,29,23,1005,0.0,4,10.4,33,1,0,0,0,0
29,57,22,1005,0.0,5,10.4,34,0,0,0,0,0
23,94,9,1003,0.3,3,3.8,62,0,0,1,0,1
26,47,5,1014,0.0,5,9.6,43,0,0,0,0,0
30,40,7,1008,0.0333333333333333,4,11.2,33,1,0,0,0,0
25,81,15,1000,0.3,3,6.2,57,1,0,0,0,1
32,33,19,1006,0.0,5,10.4,32,0,0,0,0,0
26,31,14,1016,0.0,4,10.1,42,1,0,0,0,0
24,28,9,1014,0.0,5,9.8,40,0,0,0,0,0
25,48,6,1012,0.3,3,9.6,40,1,0,0,0,0
25,88,8,1001,0.266666666666666,3,3.8,65,1,0,1,0,1
27,70,23,1004,0.0666666666666666,3,6.2,52,1,1,0,0,0
24,78,19,1007,0.133333333333333,3,3.8,52,0,0,0,0,0
22,58,22,1010,0.0,4,10.7,33,0,0,0,0,0
24,83,11,1009,0.0333333333333333,3,9.1,50,0,0,0,0,1
32,28,11,1008,0.0,5,10.4,33,0,0,0,0,0
25,80,7,1005,0.36666666666666603,1,3.9,65,1,1,0,0,1
34,19,9,1008,0.0,5,11.2,31,0,0,0,0,0
22,35,9,1015,0.0,5,9.8,43,0,0,0,0,0
26,80,16,1003,0.133333333333333,3,3.8,55,1,1,0,0,1
28,58,5,1009,0.1,3,9.1,53,1,1,0,0,0
25,57,12,1012,0.0,4,9.6,44,0,0,0,0,0
31,56,17,1008,0.0333333333333333,3,10.4,33,1,0,0,0,0
25,90,4,1003,0.5666666666666661,1,6.2,70,1,0,1,1,0
24,84,28,1002,0.166666666666666,3,3.9,63,0,0,1,0,1
25,77,7,1006,0.0666666666666666,3,5.4,60,1,1,0,0,0
23,86,31,1006,0.0,3,5.4,53,0,0,0,0,1
23,85,21,1007,0.133333333333333,3,3.9,61,0,0,1,0,1
22,48,18,1011,0.0,4,10.7,35,0,0,0,0,0
23,90,16,1003,0.9,2,3.9,62,0,0,1,0,1
26,87,14,1001,0.4333333333333329,3,5.4,62,1,0,1,0,1
23,89,17,999,0.33333333333333304,2,3.8,62,0,0,1,0,1
26,77,12,1006,0.0666666666666666,3,3.9,60,1,1,0,0,0
25,51,8,1012,0.0,4,9.8,44,1,0,0,0,0
25,57,15,1013,0.0,3,9.7,45,1,1,0,0,0
31,28,17,1007,0.0,4,10.4,31,0,0,0,0,0
27,75,10,1003,0.8999999999999989,1,6.2,67,1,1,0,1,0
24,78,11,1008,0.0333333333333333,3,5.4,55,0,0,0,0,0
25,81,6,1010,0.266666666666666,1,9.1,59,1,0,0,0,1
25,75,6,1009,0.0666666666666666,3,9.1,55,1,1,0,0,0
29,30,10,1010,0.0,4,11.2,34,0,0,0,0,0
24,33,9,1013,0.0,5,10.1,44,0,0,0,0,0
24,35,5,1013,0.0,5,9.8,40,0,0,0,0,0
32,47,21,1005,0.0,5,6.2,33,0,0,0,0,0
26,32,7,1013,0.0,5,10.1,44,0,0,0,0,0
27,57,3,1008,0.0666666666666666,4,9.1,52,1,1,0,0,0
23,40,11,1014,0.0,5,9.7,43,0,0,0,0,0
24,37,5,1015,0.0,4,9.8,41,0,0,0,0,0
30,25,11,1010,0.0,5,11.2,33,0,0,0,0,0
23,25,13,1013,0.0,5,10.1,44,0,0,0,0,0
25,48,10,1012,0.0,4,10.1,40,1,0,0,0,0
22,28,8,1014,0.0,5,9.8,41,0,0,0,0,0
27,14,7,1013,0.0,5,10.1,43,0,0,0,0,0
26,30,12,1012,0.0,5,9.1,45,0,0,0,0,0
23,87,16,1004,0.133333333333333,3,3.9,55,0,0,0,0,1
31,29,15,1008,0.0,5,11.2,35,0,0,0,0,0
24,52,10,1011,0.0,4,9.8,44,0,0,0,0,0
27,27,5,1012,0.0,5,10.1,44,0,0,0,0,0
28,62,14,1006,0.19999999999999898,1,3.8,48,1,1,0,0,0
29,33,14,1010,0.0,5,11.2,34,0,0,0,0,0
23,32,6,1015,0.0,5,9.6,44,0,0,0,0,0
29,23,6,1010,0.0,5,10.1,43,0,0,0,0,0
28,50,11,1010,0.0,5,5.4,45,1,1,0,0,0
26,32,7,1014,0.0,5,9.8,45,0,0,0,0,0
22,53,8,1013,0.0,5,9.6,42,0,0,0,0,0
31,42,9,1007,0.3,3,10.4,38,1,0,0,0,0
23,89,17,1005,0.2,3,3.9,62,0,0,1,0,1
26,75,15,1006,0.0999999999999999,3,3.8,50,1,1,0,0,0
27,53,8,1011,0.0,5,9.1,51,0,0,0,0,0
24,26,6,1015,0.0,5,9.6,42,0,0,0,0,0
24,79,30,1006,0.0666666666666666,3,3.9,52,0,0,0,0,0
25,79,31,1002,0.0666666666666666,3,3.8,65,1,1,0,1,0
22,24,6,1013,0.0,5,9.8,42,0,0,0,0,0
32,31,11,1001,0.0,3,10.4,45,1,0,0,0,0
25,30,9,1014,0.0,5,9.7,45,0,0,0,0,0
30,35,4,1014,0.0,4,10.1,40,1,0,0,0,0
26,35,6,1016,0.0,5,9.7,43,0,0,0,0,0
23,43,18,1015,0.0,4,10.1,41,0,0,0,0,0
29,65,30,1000,0.0333333333333333,3,6.2,45,1,1,0,0,0
30,31,20,1005,0.0,5,10.4,34,0,0,0,0,0
23,89,25,999,0.933333333333333,3,3.8,65,0,0,1,1,1
31,49,19,1007,0.0,5,10.4,33,0,0,0,0,0
24,73,8,1012,0.266666666666666,3,9.7,55,0,0,0,0,0
26,74,35,1006,0.0666666666666666,3,3.8,57,1,1,0,0,0
33,21,18,1008,0.0,4,11.2,33,0,0,0,0,0
21,23,9,1014,0.0,5,9.6,42,0,0,0,0,0
19,24,12,1016,0.0,5,9.6,43,0,0,0,0,0
23,41,6,1014,0.0,5,9.6,43,0,0,0,0,0
33,29,20,1005,0.0,5,10.4,31,0,0,0,0,0
28,45,7,1012,0.0,4,9.1,45,1,0,0,0,0
34,24,8,1006,0.0,5,10.4,32,0,0,0,0,0
31,37,12,1007,0.0,5,10.4,30,0,0,0,0,0
23,43,11,1013,0.0,5,9.7,41,0,0,0,0,0
25,30,8,1012,0.0,5,9.8,42,0,0,0,0,0
34,25,7,1009,0.0,5,10.4,31,0,0,0,0,0
28,33,8,1007,0.0,5,9.1,45,0,0,0,0,0
31,52,8,1000,0.5333333333333329,1,6.2,60,1,0,0,0,0
22,92,16,1004,0.266666666666666,3,3.9,50,0,0,0,0,1
23,35,6,1014,0.0,5,9.8,45,0,0,0,0,0
26,60,5,1011,0.2,3,9.1,50,1,1,0,0,0
24,83,9,1010,0.0999999999999999,3,9.1,56,0,0,0,0,1
23,87,11,1006,0.5333333333333329,1,3.8,75,0,0,1,1,0
