STATION CODE,LOCATIONS,STATE,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean,year
3353,"UMIAM MAWPHLANG RIVER AT NONGKREM, EAST KHASI HILLS",MEGHALAYA,18.0,7.5,6.9,69.0,1.9,4.92,20.0,49.0,2012.0
,,,21.0,6.4213022120000005,7.785798526000001,60.0,2.1,2.55485258,,,
1565,"PAMBA DOWN, KERALA",KERALA,28.3,4.2,7.0,69.0,0.6,1.04,240.0,420.0,2013.0
2713,,,10.56322016,9.475864189,7.056322016,632.0,13.5,4.436779842,9.0,82.0,
1461,"BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS), MAHARASHTRA",NAN,25.0,5.3,7.7,109.0,3.25,0.38,165.0,296.0,2008.0
,,,22.0,6.4935204539999996,7.7,132.0,1.6,2.574081815,6458.0,10250.0,
,,,21.76266216,6.5351945979999995,7.854935134,113.0,3.9,1.0,7.0,363.0,
2713,"VASHISHTI RIVER AT D/S OF THREE M PAPER MILLS NEAR CHIPLUN WATER INTAKE JACKWELL, KHERDI, RATNAGIRI",MAHARASHTRA,23.0,7.0,7.4,178.0,2.7,0.9,,40.0,2014.0
2653,"BHATSA RIVER AT D/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA,28.0,6.9,7.7,103.0,3.7,0.57,48.0,103.0,2013.0
1442,"VAMANAPURAM, KERALA",NAN,27.0,6.8,72.0,6.6,0.6,0.53,0.53,1350.0,2003.0
1393,DAMANGANGA AT D/S OF MADHUBAN,DAMAN & DIU,19.37474623,8.568940328,7.168737311,236.0,1.9,2.278258229,5064.0,2487.0,
2569,KAMALA RIVER AT DARBHANGA,BIHAR,23.0,7.9,7.8,319.0,2.2,0.0,740.0,1840.0,
1702,"GHAGGAR AT U/S JHARMAL NADI, PUNJAB",NAN,17.5,5.2,7.3,391.3,6.267,1.4,23723.0,54067.0,2006.0
2232,"KOHORA RIVER AT N.H. CROSSING, KOHORA",ASSAM,24.3,8.1,6.7,58.0,1.3,0.4,318.0,4598.0,
2052,TUIRIAL UPPER CATCHMENT,MIZORAM,23.0,6.8,7.0,317.0,1.5,,8.0,45.0,2010.0
2276,NAN,"RIVER BICHOLIM VARAZAN NAGAR , BICHOLIM",28.0,7.0,6.8,4800.0,3.0,0.32,69.0,126.0,2009.0
2331,R BHARATHAPUZHA AT KUTTIPPURAM,KERALA,28.6,6.9,7.7,107.0,0.7,0.46,255.0,443.0,2013.0
2270,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE ,U/S OPA WATERWORKS,SANGUEM",NAN,29.0,5.4,7.3,75.0,1.8,0.06,350.0,2400.0,2008.0
1155,KARAMANA AT MOONNATTUMUKKU,KERALA,28.0,0.8,7.1,1239.0,11.9,1.87,4250.0,11000.0,2011.0
1564,,,11.43049133,9.929631225,7.120696699,234.0,1.5,3.854709176,170.0,280.0,
1568,"VALAYUM, KERALA",NAN,27.0,6.8,46.0,6.9,0.5,0.149,0.149,905.0,2003.0
1340,MANIMALA  AT KALLOOPARA,NAN,28.5,7.4,6.9,65.0,0.9,0.56,575.0,1455.0,2010.0
1399,"ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS, GOA",NAN,30.0,6.6,7.8,37.0,2.25,0.01,10.0,13.0,2008.0
2704,"SAVITRI AT MUTHAVALI VILLAGE, MAHAD, RAIGADH",NAN,22.0,6.7,7.8,3521.0,2.4,1.02,3.0,90.0,2010.0
1197,"KABBANI AT SARAGUR VILLAGE D/S, KARNATAKA",KARNATAKA,25.3,7.2,7.5,219.0,1.1,0.3,353.0,1478.0,
NAN,RIVER GHAGGAR AT D/S OF SURAJPUR,NAN,,8.1,7.86,342.3,2.747,0.24,,,2005.0
1887,GHAGGAR BEFORE OTTU WEIR (BEFORE MIXING OF SATLUJ CANAL WATER) (HARYANA),HARYANA,10.70098183,8.870098183,7.105147274,605.0,6.5,5.7710800110000005,4.0,12.0,
2868,"CHAKPIAT CHAKPIKARONG, CHANDEL",MANIPUR,18.74521362,9.041089782,7.137260681,143.0,3.6,2.608762848,9.0,90.0,
