image_path,class_name,pred_image_label,act_label,pred_label,similar_words
..\Dataset\artefact1\unseen\humpback_whale\humpback+whale_10001.jpg,humpback_whale,blue_whale,3,1,"['grizzly_bear', 'killer_whale', 'persian_cat', 'german_shepherd', 'siamese_cat']"
..\Dataset\artefact1\unseen\humpback_whale\humpback+whale_10002.jpg,humpback_whale,blue_whale,3,1,"['grizzly_bear', 'killer_whale', 'persian_cat', 'german_shepherd', 'siamese_cat']"
..\Dataset\artefact1\unseen\humpback_whale\humpback+whale_10003.jpg,humpback_whale,blue_whale,3,1,"['grizzly_bear', 'killer_whale', 'persian_cat', 'german_shepherd', 'siamese_cat']"
..\Dataset\artefact1\unseen\humpback_whale\humpback+whale_10004.jpg,humpback_whale,blue_whale,3,1,"['grizzly_bear', 'killer_whale', 'persian_cat', 'german_shepherd', 'siamese_cat']"
..\Dataset\artefact1\unseen\humpback_whale\humpback+whale_10005.jpg,humpback_whale,blue_whale,3,1,"['grizzly_bear', 'killer_whale', 'persian_cat', 'german_shepherd', 'siamese_cat']"
..\Dataset\artefact1\unseen\humpback_whale\humpback+whale_10006.jpg,humpback_whale,blue_whale,3,1,"['grizzly_bear', 'killer_whale', 'persian_cat', 'german_shepherd', 'siamese_cat']"
..\Dataset\artefact1\unseen\humpback_whale\humpback+whale_10007.jpg,humpback_whale,blue_whale,3,1,"['grizzly_bear', 'killer_whale', 'persian_cat', 'german_shepherd', 'siamese_cat']"
..\Dataset\artefact1\unseen\humpback_whale\humpback+whale_10008.jpg,humpback_whale,blue_whale,3,1,"['grizzly_bear', 'killer_whale', 'persian_cat', 'german_shepherd', 'siamese_cat']"
..\Dataset\artefact1\unseen\humpback_whale\humpback+whale_10009.jpg,humpback_whale,killer_whale,3,6,"['grizzly_bear', 'persian_cat', 'german_shepherd', 'blue_whale', 'siamese_cat']"
..\Dataset\artefact1\unseen\humpback_whale\humpback+whale_10010.jpg,humpback_whale,blue_whale,3,1,"['grizzly_bear', 'killer_whale', 'persian_cat', 'german_shepherd', 'siamese_cat']"
