image_path,class_name,pred_image_label,act_label,pred_label,similar_words
..\Dataset\artefact1\unseen\leopard\leopard_10001.jpg,leopard,tiger,4,16,"['killer', 'killer whale', 'leopard', 'bull', 'lion']"
..\Dataset\artefact1\unseen\leopard\leopard_10002.jpg,leopard,bobcat,4,2,"['raccoon', 'walrus', 'squirrel', 'chihuahua', 'frog']"
..\Dataset\artefact1\unseen\leopard\leopard_10003.jpg,leopard,bobcat,4,2,"['raccoon', 'walrus', 'squirrel', 'chihuahua', 'frog']"
..\Dataset\artefact1\unseen\leopard\leopard_10004.jpg,leopard,bobcat,4,2,"['raccoon', 'walrus', 'squirrel', 'chihuahua', 'frog']"
..\Dataset\artefact1\unseen\leopard\leopard_10005.jpg,leopard,bobcat,4,2,"['raccoon', 'walrus', 'squirrel', 'chihuahua', 'frog']"
..\Dataset\artefact1\unseen\leopard\leopard_10006.jpg,leopard,tiger,4,16,"['killer', 'killer whale', 'leopard', 'bull', 'lion']"
..\Dataset\artefact1\unseen\leopard\leopard_10007.jpg,leopard,bobcat,4,2,"['raccoon', 'walrus', 'squirrel', 'chihuahua', 'frog']"
..\Dataset\artefact1\unseen\leopard\leopard_10008.jpg,leopard,tiger,4,16,"['killer', 'killer whale', 'leopard', 'bull', 'lion']"
..\Dataset\artefact1\unseen\leopard\leopard_10009.jpg,leopard,tiger,4,16,"['killer', 'killer whale', 'leopard', 'bull', 'lion']"
..\Dataset\artefact1\unseen\leopard\leopard_10010.jpg,leopard,tiger,4,16,"['killer', 'killer whale', 'leopard', 'bull', 'lion']"
