image_path,class_name,pred_image_label,act_label,pred_label,similar_words
..\Dataset\artefact1\unseen\persian_cat\persian+cat_10001.jpg,persian_cat,siamese_cat,5,13,"['grizzly_bear', 'killer_whale', 'persian_cat', 'german_shepherd', 'blue_whale']"
..\Dataset\artefact1\unseen\persian_cat\persian+cat_10002.jpg,persian_cat,mouse,5,9,"['rat', 'alligator', 'frog', 'lizard', 'pig']"
..\Dataset\artefact1\unseen\persian_cat\persian+cat_10003.jpg,persian_cat,siamese_cat,5,13,"['grizzly_bear', 'killer_whale', 'persian_cat', 'german_shepherd', 'blue_whale']"
..\Dataset\artefact1\unseen\persian_cat\persian+cat_10004.jpg,persian_cat,siamese_cat,5,13,"['grizzly_bear', 'killer_whale', 'persian_cat', 'german_shepherd', 'blue_whale']"
..\Dataset\artefact1\unseen\persian_cat\persian+cat_10005.jpg,persian_cat,siamese_cat,5,13,"['grizzly_bear', 'killer_whale', 'persian_cat', 'german_shepherd', 'blue_whale']"
..\Dataset\artefact1\unseen\persian_cat\persian+cat_10006.jpg,persian_cat,mouse,5,9,"['rat', 'alligator', 'frog', 'lizard', 'pig']"
..\Dataset\artefact1\unseen\persian_cat\persian+cat_10007.jpg,persian_cat,siamese_cat,5,13,"['grizzly_bear', 'killer_whale', 'persian_cat', 'german_shepherd', 'blue_whale']"
..\Dataset\artefact1\unseen\persian_cat\persian+cat_10008.jpg,persian_cat,siamese_cat,5,13,"['grizzly_bear', 'killer_whale', 'persian_cat', 'german_shepherd', 'blue_whale']"
..\Dataset\artefact1\unseen\persian_cat\persian+cat_10009.jpg,persian_cat,siamese_cat,5,13,"['grizzly_bear', 'killer_whale', 'persian_cat', 'german_shepherd', 'blue_whale']"
..\Dataset\artefact1\unseen\persian_cat\persian+cat_10010.jpg,persian_cat,siamese_cat,5,13,"['grizzly_bear', 'killer_whale', 'persian_cat', 'german_shepherd', 'blue_whale']"
