image_path,class_name,pred_image_label,act_label,pred_label,similar_words
..\Dataset\artefact1\unseen\pig\pig_10001.jpg,pig,walrus,6,17,"['raccoon', 'frog', 'squirrel', 'chimpanzee', 'bobcat']"
..\Dataset\artefact1\unseen\pig\pig_10002.jpg,pig,mouse,6,9,"['rat', 'alligator', 'frog', 'lizard', 'pig']"
..\Dataset\artefact1\unseen\pig\pig_10003.jpg,pig,rabbit,6,11,"['goat', 'deer', 'horse', 'bull', 'pig']"
..\Dataset\artefact1\unseen\pig\pig_10004.jpg,pig,mouse,6,9,"['rat', 'alligator', 'frog', 'lizard', 'pig']"
..\Dataset\artefact1\unseen\pig\pig_10005.jpg,pig,skunk,6,14,"['alligator', 'raccoon', 'otter', 'lizard', 'hamster']"
..\Dataset\artefact1\unseen\pig\pig_10006.jpg,pig,cow,6,3,"['bull', 'goat', 'sheep', 'deer', 'blue whale']"
..\Dataset\artefact1\unseen\pig\pig_10007.jpg,pig,cow,6,3,"['bull', 'goat', 'sheep', 'deer', 'blue whale']"
..\Dataset\artefact1\unseen\pig\pig_10008.jpg,pig,mouse,6,9,"['rat', 'alligator', 'frog', 'lizard', 'pig']"
..\Dataset\artefact1\unseen\pig\pig_10009.jpg,pig,mouse,6,9,"['rat', 'alligator', 'frog', 'lizard', 'pig']"
..\Dataset\artefact1\unseen\pig\pig_10010.jpg,pig,cow,6,3,"['bull', 'goat', 'sheep', 'deer', 'blue whale']"
