image_path,class_name,pred_image_label,act_label,pred_label,similar_words
..\Dataset\artefact1\unseen\raccoon\raccoon_10001.jpg,raccoon,monkey,7,8,"['spider monkey', 'squirrel', 'dog', 'lizard', 'cat']"
..\Dataset\artefact1\unseen\raccoon\raccoon_10002.jpg,raccoon,skunk,7,14,"['alligator', 'raccoon', 'otter', 'lizard', 'hamster']"
..\Dataset\artefact1\unseen\raccoon\raccoon_10003.jpg,raccoon,mouse,7,9,"['rat', 'alligator', 'frog', 'lizard', 'pig']"
..\Dataset\artefact1\unseen\raccoon\raccoon_10004.jpg,raccoon,squirrel,7,15,"['chimpanzee', 'frog', 'raccoon', 'monkey', 'chimp']"
..\Dataset\artefact1\unseen\raccoon\raccoon_10005.jpg,raccoon,mouse,7,9,"['rat', 'alligator', 'frog', 'lizard', 'pig']"
..\Dataset\artefact1\unseen\raccoon\raccoon_10006.jpg,raccoon,monkey,7,8,"['spider monkey', 'squirrel', 'dog', 'lizard', 'cat']"
..\Dataset\artefact1\unseen\raccoon\raccoon_10007.jpg,raccoon,mouse,7,9,"['rat', 'alligator', 'frog', 'lizard', 'pig']"
..\Dataset\artefact1\unseen\raccoon\raccoon_10008.jpg,raccoon,monkey,7,8,"['spider monkey', 'squirrel', 'dog', 'lizard', 'cat']"
..\Dataset\artefact1\unseen\raccoon\raccoon_10009.jpg,raccoon,skunk,7,14,"['alligator', 'raccoon', 'otter', 'lizard', 'hamster']"
..\Dataset\artefact1\unseen\raccoon\raccoon_10010.jpg,raccoon,mouse,7,9,"['rat', 'alligator', 'frog', 'lizard', 'pig']"
