image_path,class_name,pred_image_label,act_label,pred_label,similar_words
..\Dataset\artefact1\unseen\seal\seal_10001.jpg,seal,walrus,9,17,"['raccoon', 'frog', 'squirrel', 'chimpanzee', 'bobcat']"
..\Dataset\artefact1\unseen\seal\seal_10002.jpg,seal,walrus,9,17,"['raccoon', 'frog', 'squirrel', 'chimpanzee', 'bobcat']"
..\Dataset\artefact1\unseen\seal\seal_10003.jpg,seal,rhinoceros,9,12,"['elephant', 'gorilla', 'giraffe', 'hippopotamus', 'rhino']"
..\Dataset\artefact1\unseen\seal\seal_10004.jpg,seal,walrus,9,17,"['raccoon', 'frog', 'squirrel', 'chimpanzee', 'bobcat']"
..\Dataset\artefact1\unseen\seal\seal_10005.jpg,seal,walrus,9,17,"['raccoon', 'frog', 'squirrel', 'chimpanzee', 'bobcat']"
..\Dataset\artefact1\unseen\seal\seal_10006.jpg,seal,rhinoceros,9,12,"['elephant', 'gorilla', 'giraffe', 'hippopotamus', 'rhino']"
..\Dataset\artefact1\unseen\seal\seal_10007.jpg,seal,walrus,9,17,"['raccoon', 'frog', 'squirrel', 'chimpanzee', 'bobcat']"
..\Dataset\artefact1\unseen\seal\seal_10008.jpg,seal,walrus,9,17,"['raccoon', 'frog', 'squirrel', 'chimpanzee', 'bobcat']"
..\Dataset\artefact1\unseen\seal\seal_10009.jpg,seal,walrus,9,17,"['raccoon', 'frog', 'squirrel', 'chimpanzee', 'bobcat']"
..\Dataset\artefact1\unseen\seal\seal_10010.jpg,seal,walrus,9,17,"['raccoon', 'frog', 'squirrel', 'chimpanzee', 'bobcat']"
