image_path,class_name,pred_image_label,act_label,pred_label,similar_words
..\Dataset\artefact1\test\bear\bear_10001 (89).jpg,bear,bear,0,0,"['bear', 'rabbit', 'giant', 'tiger', 'cow']"
..\Dataset\artefact1\test\bear\bear_10001 (90).jpg,bear,bear,0,0,"['bear', 'rabbit', 'giant', 'tiger', 'cow']"
..\Dataset\artefact1\test\bear\bear_10001 (91).jpg,bear,bear,0,0,"['bear', 'rabbit', 'giant', 'tiger', 'cow']"
..\Dataset\artefact1\test\bear\bear_10001 (92).jpg,bear,bear,0,0,"['bear', 'rabbit', 'giant', 'tiger', 'cow']"
..\Dataset\artefact1\test\bear\bear_10001 (93).jpg,bear,bear,0,0,"['bear', 'rabbit', 'giant', 'tiger', 'cow']"
..\Dataset\artefact1\test\bear\bear_10001 (94).jpg,bear,bear,0,0,"['bear', 'rabbit', 'giant', 'tiger', 'cow']"
..\Dataset\artefact1\test\bear\bear_10001 (95).jpg,bear,bear,0,0,"['bear', 'rabbit', 'giant', 'tiger', 'cow']"
..\Dataset\artefact1\test\bear\bear_10001 (96).jpg,bear,bear,0,0,"['bear', 'rabbit', 'giant', 'tiger', 'cow']"
..\Dataset\artefact1\test\blue_whale\blue+whale_10137.jpg,blue_whale,blue_whale,1,1,"['blue_whale', 'killer_whale', 'polar_bear', 'giant_panda', 'spider_monkey']"
..\Dataset\artefact1\test\blue_whale\blue+whale_10139.jpg,blue_whale,blue_whale,1,1,"['blue_whale', 'killer_whale', 'polar_bear', 'giant_panda', 'spider_monkey']"
..\Dataset\artefact1\test\blue_whale\blue+whale_10143.jpg,blue_whale,blue_whale,1,1,"['blue_whale', 'killer_whale', 'polar_bear', 'giant_panda', 'spider_monkey']"
..\Dataset\artefact1\test\blue_whale\blue+whale_10150.jpg,blue_whale,blue_whale,1,1,"['blue_whale', 'killer_whale', 'polar_bear', 'giant_panda', 'spider_monkey']"
..\Dataset\artefact1\test\blue_whale\blue+whale_10151.jpg,blue_whale,blue_whale,1,1,"['blue_whale', 'killer_whale', 'polar_bear', 'giant_panda', 'spider_monkey']"
