image_paths,image_names,act_lables,pred_labels,act_vals,pred_vals,top_seen_labels,top_unseen_labels,seen_pred_vals
awa_data\train\bear\bear_10001 (1).jpg,bear_10001 (1).jpg,bear,bear,0,0,"['bear', 'walrus', 'rabbit', 'squirrel', 'cow']","['rat', 'pig', 'raccoon', 'leopard', 'humpback_whale']",0
awa_data\train\bear\bear_10001 (10).jpg,bear_10001 (10).jpg,bear,tiger,0,16,"['tiger', 'lion', 'squirrel', 'gorilla', 'monkey']","['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",16
awa_data\train\bear\bear_10001 (11).jpg,bear_10001 (11).jpg,bear,bear,0,0,"['bear', 'walrus', 'rabbit', 'squirrel', 'cow']","['rat', 'pig', 'raccoon', 'leopard', 'humpback_whale']",0
awa_data\train\bear\bear_10001 (12).jpg,bear_10001 (12).jpg,bear,tiger,0,16,"['tiger', 'lion', 'squirrel', 'gorilla', 'monkey']","['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",16
awa_data\train\bear\bear_10001 (13).jpg,bear_10001 (13).jpg,bear,killer_whale,0,6,"['killer_whale', 'blue_whale', 'dolphin', 'bear', 'cow']","['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",0
awa_data\train\bear\bear_10001 (14).jpg,bear_10001 (14).jpg,bear,bobcat,0,2,"['bobcat', 'bear', 'rabbit', 'lion', 'dolphin']","['leopard', 'pig', 'humpback_whale', 'giant_panda', 'rat']",0
awa_data\train\bear\bear_10001 (15).jpg,bear_10001 (15).jpg,bear,ox,0,10,"['ox', 'monkey', 'cow', 'lion', 'tiger']","['leopard', 'pig', 'rat', 'humpback_whale', 'persian_cat']",10
awa_data\train\bear\bear_10001 (16).jpg,bear_10001 (16).jpg,bear,tiger,0,16,"['tiger', 'lion', 'squirrel', 'gorilla', 'monkey']","['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",16
awa_data\train\bear\bear_10001 (17).jpg,bear_10001 (17).jpg,bear,ox,0,10,"['ox', 'monkey', 'cow', 'lion', 'tiger']","['leopard', 'pig', 'rat', 'humpback_whale', 'persian_cat']",10
awa_data\train\bear\bear_10001 (18).jpg,bear_10001 (18).jpg,bear,tiger,0,16,"['tiger', 'lion', 'squirrel', 'gorilla', 'monkey']","['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",16
awa_data\train\bear\bear_10001 (19).jpg,bear_10001 (19).jpg,bear,bear,0,0,"['bear', 'walrus', 'rabbit', 'squirrel', 'cow']","['rat', 'pig', 'raccoon', 'leopard', 'humpback_whale']",0
awa_data\train\bear\bear_10001 (2).jpg,bear_10001 (2).jpg,bear,bear,0,0,"['bear', 'walrus', 'rabbit', 'squirrel', 'cow']","['rat', 'pig', 'raccoon', 'leopard', 'humpback_whale']",0
awa_data\train\bear\bear_10001 (20).jpg,bear_10001 (20).jpg,bear,tiger,0,16,"['tiger', 'lion', 'squirrel', 'gorilla', 'monkey']","['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",16
awa_data\train\bear\bear_10001 (21).jpg,bear_10001 (21).jpg,bear,bobcat,0,2,"['bobcat', 'bear', 'rabbit', 'lion', 'dolphin']","['leopard', 'pig', 'humpback_whale', 'giant_panda', 'rat']",0
awa_data\train\bear\bear_10001 (22).jpg,bear_10001 (22).jpg,bear,ox,0,10,"['ox', 'monkey', 'cow', 'lion', 'tiger']","['leopard', 'pig', 'rat', 'humpback_whale', 'persian_cat']",10
awa_data\train\bear\bear_10001 (23).jpg,bear_10001 (23).jpg,bear,ox,0,10,"['ox', 'monkey', 'cow', 'lion', 'tiger']","['leopard', 'pig', 'rat', 'humpback_whale', 'persian_cat']",10
awa_data\train\bear\bear_10001 (24).jpg,bear_10001 (24).jpg,bear,bear,0,0,"['bear', 'walrus', 'rabbit', 'squirrel', 'cow']","['rat', 'pig', 'raccoon', 'leopard', 'humpback_whale']",0
awa_data\train\bear\bear_10001 (25).jpg,bear_10001 (25).jpg,bear,bobcat,0,2,"['bobcat', 'bear', 'rabbit', 'lion', 'dolphin']","['leopard', 'pig', 'humpback_whale', 'giant_panda', 'rat']",0
awa_data\train\bear\bear_10001 (26).jpg,bear_10001 (26).jpg,bear,bear,0,0,"['bear', 'walrus', 'rabbit', 'squirrel', 'cow']","['rat', 'pig', 'raccoon', 'leopard', 'humpback_whale']",0
awa_data\train\bear\bear_10001 (27).jpg,bear_10001 (27).jpg,bear,bobcat,0,2,"['bobcat', 'bear', 'rabbit', 'lion', 'dolphin']","['leopard', 'pig', 'humpback_whale', 'giant_panda', 'rat']",0
awa_data\train\bear\bear_10001 (28).jpg,bear_10001 (28).jpg,bear,ox,0,10,"['ox', 'monkey', 'cow', 'lion', 'tiger']","['leopard', 'pig', 'rat', 'humpback_whale', 'persian_cat']",10
awa_data\train\bear\bear_10001 (29).jpg,bear_10001 (29).jpg,bear,ox,0,10,"['ox', 'monkey', 'cow', 'lion', 'tiger']","['leopard', 'pig', 'rat', 'humpback_whale', 'persian_cat']",10
awa_data\train\bear\bear_10001 (3).jpg,bear_10001 (3).jpg,bear,bobcat,0,2,"['bobcat', 'bear', 'rabbit', 'lion', 'dolphin']","['leopard', 'pig', 'humpback_whale', 'giant_panda', 'rat']",0
awa_data\train\bear\bear_10001 (30).jpg,bear_10001 (30).jpg,bear,tiger,0,16,"['tiger', 'lion', 'squirrel', 'gorilla', 'monkey']","['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",16
awa_data\train\bear\bear_10001 (31).jpg,bear_10001 (31).jpg,bear,bobcat,0,2,"['bobcat', 'bear', 'rabbit', 'lion', 'dolphin']","['leopard', 'pig', 'humpback_whale', 'giant_panda', 'rat']",0
awa_data\train\bear\bear_10001 (32).jpg,bear_10001 (32).jpg,bear,ox,0,10,"['ox', 'monkey', 'cow', 'lion', 'tiger']","['leopard', 'pig', 'rat', 'humpback_whale', 'persian_cat']",10
awa_data\train\bear\bear_10001 (33).jpg,bear_10001 (33).jpg,bear,bobcat,0,2,"['bobcat', 'bear', 'rabbit', 'lion', 'dolphin']","['leopard', 'pig', 'humpback_whale', 'giant_panda', 'rat']",0
awa_data\train\bear\bear_10001 (34).jpg,bear_10001 (34).jpg,bear,bear,0,0,"['bear', 'walrus', 'rabbit', 'squirrel', 'cow']","['rat', 'pig', 'raccoon', 'leopard', 'humpback_whale']",0
awa_data\train\bear\bear_10001 (35).jpg,bear_10001 (35).jpg,bear,bobcat,0,2,"['bobcat', 'bear', 'rabbit', 'lion', 'dolphin']","['leopard', 'pig', 'humpback_whale', 'giant_panda', 'rat']",0
awa_data\train\bear\bear_10001 (36).jpg,bear_10001 (36).jpg,bear,ox,0,10,"['ox', 'monkey', 'cow', 'lion', 'tiger']","['leopard', 'pig', 'rat', 'humpback_whale', 'persian_cat']",10
awa_data\train\bear\bear_10001 (37).jpg,bear_10001 (37).jpg,bear,ox,0,10,"['ox', 'monkey', 'cow', 'lion', 'tiger']","['leopard', 'pig', 'rat', 'humpback_whale', 'persian_cat']",10
awa_data\train\bear\bear_10001 (38).jpg,bear_10001 (38).jpg,bear,bear,0,0,"['bear', 'walrus', 'rabbit', 'squirrel', 'cow']","['rat', 'pig', 'raccoon', 'leopard', 'humpback_whale']",0
awa_data\train\bear\bear_10001 (39).jpg,bear_10001 (39).jpg,bear,ox,0,10,"['ox', 'monkey', 'cow', 'lion', 'tiger']","['leopard', 'pig', 'rat', 'humpback_whale', 'persian_cat']",10
awa_data\train\bear\bear_10001 (4).jpg,bear_10001 (4).jpg,bear,bear,0,0,"['bear', 'walrus', 'rabbit', 'squirrel', 'cow']","['rat', 'pig', 'raccoon', 'leopard', 'humpback_whale']",0
awa_data\train\bear\bear_10001 (40).jpg,bear_10001 (40).jpg,bear,bear,0,0,"['bear', 'walrus', 'rabbit', 'squirrel', 'cow']","['rat', 'pig', 'raccoon', 'leopard', 'humpback_whale']",0
awa_data\train\bear\bear_10001 (5).jpg,bear_10001 (5).jpg,bear,bear,0,0,"['bear', 'walrus', 'rabbit', 'squirrel', 'cow']","['rat', 'pig', 'raccoon', 'leopard', 'humpback_whale']",0
awa_data\train\bear\bear_10001 (6).jpg,bear_10001 (6).jpg,bear,ox,0,10,"['ox', 'monkey', 'cow', 'lion', 'tiger']","['leopard', 'pig', 'rat', 'humpback_whale', 'persian_cat']",10
