Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
Jos Buttler,14,14,1,629,116,48.38,428,146.96,3,3,56,37
K L Rahul,14,14,3,537,103*,48.82,397,135.26,2,3,42,25
Quinton De Kock,14,14,1,502,140*,38.62,336,149.40,1,3,47,22
Shikhar Dhawan,14,14,2,460,88*,38.33,375,122.66,0,3,47,12
Faf Du Plessis,14,14,1,443,96,34.08,339,130.67,0,3,46,13
Liam Livingstone,14,14,2,437,70,36.42,240,182.08,0,4,29,34
David Warner,12,12,3,432,92*,48.00,287,150.52,0,5,52,15
Abhishek Sharma,14,14,0,426,75,30.43,320,133.12,0,2,47,13
Ishan Kishan,14,14,1,418,81*,32.15,348,120.11,0,3,45,11
Rahul Tripathi,14,14,3,413,76,37.55,261,158.23,0,3,40,20
Hardik Pandya,13,13,3,413,87*,41.30,314,131.52,0,4,41,11
Deepak Hooda,14,13,0,406,59,31.23,304,133.55,0,4,35,14
Shubman Gill,14,14,1,403,96,31.00,301,133.88,0,4,43,9
Shreyas Iyer,14,14,1,401,85,30.85,298,134.56,0,3,41,11
Tilak Varma,14,14,3,397,61,36.09,303,131.02,0,2,29,16
Aiden Markram,14,12,4,381,68*,47.63,274,139.05,0,3,25,19
David Miller,14,14,7,381,94*,54.43,280,136.07,0,1,26,17
Sanju Samson,14,14,1,374,55,28.77,254,147.24,0,2,35,21
Ruturaj Gaikwad,14,14,0,368,99,26.29,291,126.46,0,3,33,14
Nitish Rana,14,14,1,361,57,27.77,251,143.82,0,2,29,22
Rishabh Pant,14,13,2,340,44,30.91,224,151.78,0,0,35,16
Devdutt Padikkal,14,14,0,337,54,24.07,264,127.65,0,1,38,12
Andre Russell,14,12,3,335,70*,37.22,192,174.47,0,1,18,32
Wriddhiman Saha,9,9,1,312,68,39.00,250,124.80,0,3,39,7
Virat Kohli,14,14,1,309,73,23.77,262,117.93,0,2,30,7
Nicholas Pooran,14,13,5,306,64*,38.25,212,144.33,0,2,16,21
Suryakumar Yadav,8,8,1,303,68*,43.29,208,145.67,0,3,23,16
Shimron Hetmyer,12,12,7,297,59*,59.40,182,163.18,0,1,19,21
Shivam Dube,11,11,1,289,95*,28.90,185,156.21,0,2,22,16
Dinesh Karthik,14,14,9,287,66*,57.40,150,191.33,0,1,22,21
Prithvi Shaw,10,10,0,283,61,28.30,185,152.97,0,2,37,10
Ambati Rayudu,13,11,0,274,78,24.91,224,122.32,0,1,25,15
Glenn Maxwell,11,11,2,268,55,29.78,155,172.90,0,1,30,12
Rohit Sharma,14,14,0,268,48,19.14,223,120.17,0,0,28,13
Jonny Bairstow,11,11,0,253,66,23.00,175,144.57,0,2,34,9
Devon Conway,7,7,1,252,87,42.00,173,145.66,0,3,22,12
Mitchell Marsh,8,8,0,251,89,31.38,189,132.80,0,2,19,14
Rovman Powell,14,12,2,250,67*,25.00,167,149.70,0,1,10,22
Moeen Ali,10,10,0,244,93,24.40,177,137.85,0,1,24,11
Jitesh Sharma,12,10,2,234,44,29.25,143,163.63,0,0,22,12
MS Dhoni,14,13,6,232,50*,33.14,188,123.40,0,1,21,10
Robin Uthappa,12,11,0,230,88,20.91,171,134.50,0,2,19,14
Rahul Tewatia,14,12,5,217,43*,31.00,147,147.61,0,0,22,9
Kane Williamson,13,13,2,216,57,19.64,231,93.50,0,1,16,8
Yashasvi Jaiswal,7,7,0,212,68,30.29,157,135.03,0,2,26,6
Shahbaz Ahmed,14,10,2,207,45,25.88,173,119.65,0,0,13,8
Bhanuka Rajapaksa,9,9,0,206,43,22.89,129,159.68,0,0,16,13
Mayank Agarwal,13,12,0,196,52,16.33,160,122.50,0,1,23,6
Tim David,8,8,3,186,46,37.20,86,216.27,0,0,12,16
Ravichandran Ashwin,14,10,4,183,50,30.50,125,146.40,0,1,14,9
Krunal Pandya,13,12,4,183,42,22.88,144,127.08,0,0,16,4
Axar Patel,13,10,6,182,42*,45.50,120,151.66,0,0,12,10
Venkatesh Iyer,12,12,1,182,50*,16.55,169,107.69,0,1,17,7
Rinku Singh,7,7,2,174,42*,34.80,117,148.71,0,0,17,7
Sam Billings,8,8,1,169,36,24.14,138,122.46,0,0,9,10
Riyan Parag,14,12,3,164,56*,18.22,114,143.85,0,1,10,10
Rajat Patidar,6,5,0,163,52,32.60,122,133.60,0,1,11,8
Dewald Brevis,7,7,0,161,49,23.00,113,142.47,0,0,14,11
Ayush Badoni,13,11,3,161,54,20.13,130,123.84,0,1,11,7
Lalit Yadav,12,8,1,161,48*,23.00,146,110.27,0,0,11,7
Marcus Stoinis,10,9,2,147,38*,21.00,97,151.54,0,0,7,12
Sai Sudharsan,5,5,1,145,65*,36.25,114,127.19,0,1,14,3
Kieron Pollard,11,11,1,144,25,14.40,134,107.46,0,0,6,9
Ajinkya Rahane,7,7,0,133,44,19.00,128,103.90,0,0,14,4
Anuj Rawat,8,8,0,129,66,16.13,118,109.32,0,1,10,7
Shardul Thakur,14,10,2,120,29*,15.00,87,137.93,0,0,7,7
Shahrukh Khan,8,8,1,117,26,16.71,108,108.33,0,0,4,9
Ravindra Jadeja,10,10,4,116,26*,19.33,98,118.36,0,0,6,5
Matthew Wade,8,8,0,114,30,14.25,98,116.32,0,0,17,1
Abhinav Manohar,8,7,1,108,43,18.00,75,144.00,0,0,14,3
Washington Sundar,9,7,0,101,40,14.43,69,146.37,0,0,9,3
Rashid Khan,14,8,4,91,40,22.75,44,206.81,0,0,3,9
Sarfaraz Khan,6,5,2,91,36*,30.33,67,135.82,0,0,9,2
