Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
14,14,1,629,116,48.38,428,146.96,3,3,56,37
14,14,3,537,103*,48.82,397,135.26,2,3,42,25
14,14,1,502,140*,38.62,336,149.40,1,3,47,22
14,14,2,460,88*,38.33,375,122.66,0,3,47,12
14,14,1,443,96,34.08,339,130.67,0,3,46,13
14,14,2,437,70,36.42,240,182.08,0,4,29,34
12,12,3,432,92*,48.00,287,150.52,0,5,52,15
14,14,0,426,75,30.43,320,133.12,0,2,47,13
14,14,1,418,81*,32.15,348,120.11,0,3,45,11
14,14,3,413,76,37.55,261,158.23,0,3,40,20
13,13,3,413,87*,41.30,314,131.52,0,4,41,11
14,13,0,406,59,31.23,304,133.55,0,4,35,14
14,14,1,403,96,31.00,301,133.88,0,4,43,9
14,14,1,401,85,30.85,298,134.56,0,3,41,11
14,14,3,397,61,36.09,303,131.02,0,2,29,16
14,12,4,381,68*,47.63,274,139.05,0,3,25,19
14,14,7,381,94*,54.43,280,136.07,0,1,26,17
14,14,1,374,55,28.77,254,147.24,0,2,35,21
14,14,0,368,99,26.29,291,126.46,0,3,33,14
14,14,1,361,57,27.77,251,143.82,0,2,29,22
14,13,2,340,44,30.91,224,151.78,0,0,35,16
14,14,0,337,54,24.07,264,127.65,0,1,38,12
14,12,3,335,70*,37.22,192,174.47,0,1,18,32
9,9,1,312,68,39.00,250,124.80,0,3,39,7
14,14,1,309,73,23.77,262,117.93,0,2,30,7
14,13,5,306,64*,38.25,212,144.33,0,2,16,21
8,8,1,303,68*,43.29,208,145.67,0,3,23,16
12,12,7,297,59*,59.40,182,163.18,0,1,19,21
11,11,1,289,95*,28.90,185,156.21,0,2,22,16
14,14,9,287,66*,57.40,150,191.33,0,1,22,21
10,10,0,283,61,28.30,185,152.97,0,2,37,10
13,11,0,274,78,24.91,224,122.32,0,1,25,15
11,11,2,268,55,29.78,155,172.90,0,1,30,12
14,14,0,268,48,19.14,223,120.17,0,0,28,13
11,11,0,253,66,23.00,175,144.57,0,2,34,9
7,7,1,252,87,42.00,173,145.66,0,3,22,12
8,8,0,251,89,31.38,189,132.80,0,2,19,14
14,12,2,250,67*,25.00,167,149.70,0,1,10,22
10,10,0,244,93,24.40,177,137.85,0,1,24,11
12,10,2,234,44,29.25,143,163.63,0,0,22,12
14,13,6,232,50*,33.14,188,123.40,0,1,21,10
12,11,0,230,88,20.91,171,134.50,0,2,19,14
14,12,5,217,43*,31.00,147,147.61,0,0,22,9
13,13,2,216,57,19.64,231,93.50,0,1,16,8
7,7,0,212,68,30.29,157,135.03,0,2,26,6
14,10,2,207,45,25.88,173,119.65,0,0,13,8
9,9,0,206,43,22.89,129,159.68,0,0,16,13
13,12,0,196,52,16.33,160,122.50,0,1,23,6
8,8,3,186,46,37.20,86,216.27,0,0,12,16
14,10,4,183,50,30.50,125,146.40,0,1,14,9
13,12,4,183,42,22.88,144,127.08,0,0,16,4
13,10,6,182,42*,45.50,120,151.66,0,0,12,10
12,12,1,182,50*,16.55,169,107.69,0,1,17,7
7,7,2,174,42*,34.80,117,148.71,0,0,17,7
8,8,1,169,36,24.14,138,122.46,0,0,9,10
14,12,3,164,56*,18.22,114,143.85,0,1,10,10
6,5,0,163,52,32.60,122,133.60,0,1,11,8
7,7,0,161,49,23.00,113,142.47,0,0,14,11
13,11,3,161,54,20.13,130,123.84,0,1,11,7
12,8,1,161,48*,23.00,146,110.27,0,0,11,7
10,9,2,147,38*,21.00,97,151.54,0,0,7,12
5,5,1,145,65*,36.25,114,127.19,0,1,14,3
